FileName, Size,DateModified
         ca_subCA_das_2019021309.nc,31.29 Mbytes,2019-02-13T21:55:39Z
         ca_subCA_das_2019021303.nc,31.29 Mbytes,2019-02-13T10:46:31Z
         ca_subCA_das_2019021221.nc,31.29 Mbytes,2019-02-13T03:45:39Z
         ca_subCA_das_2019021215.nc,31.29 Mbytes,2019-02-13T00:55:36Z
         ca_subCA_das_2019021209.nc,31.29 Mbytes,2019-02-12T21:55:44Z
         ca_subCA_das_2019021203.nc,31.29 Mbytes,2019-02-12T10:46:12Z
         ca_subCA_das_2019021121.nc,31.29 Mbytes,2019-02-12T03:45:38Z
         ca_subCA_das_2019021115.nc,31.29 Mbytes,2019-02-12T00:52:15Z
         ca_subCA_das_2019021109.nc,31.29 Mbytes,2019-02-11T21:55:37Z
         ca_subCA_das_2019021103.nc,31.29 Mbytes,2019-02-11T10:46:32Z
         ca_subCA_das_2019021021.nc,31.29 Mbytes,2019-02-11T03:45:35Z
         ca_subCA_das_2019021015.nc,31.29 Mbytes,2019-02-11T00:52:18Z
         ca_subCA_das_2019021009.nc,31.29 Mbytes,2019-02-10T21:55:39Z
         ca_subCA_das_2019021003.nc,31.29 Mbytes,2019-02-10T10:46:37Z
         ca_subCA_das_2019020921.nc,31.29 Mbytes,2019-02-10T03:45:48Z
         ca_subCA_das_2019020915.nc,31.29 Mbytes,2019-02-10T00:55:15Z
         ca_subCA_das_2019020909.nc,31.29 Mbytes,2019-02-09T21:55:56Z
         ca_subCA_das_2019020903.nc,31.29 Mbytes,2019-02-09T10:46:26Z
         ca_subCA_das_2019020821.nc,31.29 Mbytes,2019-02-09T03:45:46Z
         ca_subCA_das_2019020815.nc,31.29 Mbytes,2019-02-09T00:52:05Z
         ca_subCA_das_2019020809.nc,31.29 Mbytes,2019-02-08T22:02:15Z
         ca_subCA_das_2019020803.nc,31.29 Mbytes,2019-02-08T10:46:11Z
         ca_subCA_das_2019020721.nc,31.29 Mbytes,2019-02-08T04:26:53Z
         ca_subCA_das_2019020715.nc,31.29 Mbytes,2019-02-08T03:40:56Z
         ca_subCA_das_2019020709.nc,31.29 Mbytes,2019-02-08T02:53:07Z
         ca_subCA_das_2019020703.nc,31.29 Mbytes,2019-02-08T17:39:05Z
         ca_subCA_das_2019020621.nc,31.29 Mbytes,2019-02-08T01:25:45Z
         ca_subCA_das_2019020615.nc,31.29 Mbytes,2019-02-08T00:42:07Z
         ca_subCA_das_2019020609.nc,31.29 Mbytes,2019-02-07T23:58:04Z
         ca_subCA_das_2019020603.nc,31.29 Mbytes,2019-02-07T23:13:35Z
         ca_subCA_das_2019020521.nc,31.29 Mbytes,2019-02-06T03:45:35Z
         ca_subCA_das_2019020515.nc,31.29 Mbytes,2019-02-06T00:55:42Z
         ca_subCA_das_2019020509.nc,31.29 Mbytes,2019-02-05T21:56:00Z
         ca_subCA_das_2019020503.nc,31.29 Mbytes,2019-02-05T10:46:31Z
         ca_subCA_das_2019020421.nc,31.29 Mbytes,2019-02-05T03:45:40Z
         ca_subCA_das_2019020415.nc,31.29 Mbytes,2019-02-05T00:52:28Z
         ca_subCA_das_2019020409.nc,31.29 Mbytes,2019-02-04T21:55:42Z
         ca_subCA_das_2019020403.nc,31.29 Mbytes,2019-02-04T10:46:35Z
         ca_subCA_das_2019020321.nc,31.29 Mbytes,2019-02-04T03:45:41Z
         ca_subCA_das_2019020315.nc,31.29 Mbytes,2019-02-04T00:55:47Z
         ca_subCA_das_2019020309.nc,31.29 Mbytes,2019-02-03T21:55:34Z
         ca_subCA_das_2019020303.nc,31.29 Mbytes,2019-02-03T10:46:13Z
         ca_subCA_das_2019020221.nc,31.29 Mbytes,2019-02-03T03:45:24Z
         ca_subCA_das_2019020215.nc,31.29 Mbytes,2019-02-03T00:52:25Z
         ca_subCA_das_2019020209.nc,31.29 Mbytes,2019-02-02T21:55:46Z
         ca_subCA_das_2019020203.nc,31.29 Mbytes,2019-02-02T10:46:22Z
         ca_subCA_das_2019020121.nc,31.29 Mbytes,2019-02-02T03:45:34Z
         ca_subCA_das_2019020115.nc,31.29 Mbytes,2019-02-02T00:55:30Z
         ca_subCA_das_2019020109.nc,31.29 Mbytes,2019-02-01T21:55:39Z
         ca_subCA_das_2019020103.nc,31.29 Mbytes,2019-02-01T10:46:24Z
         ca_subCA_das_2019013121.nc,31.29 Mbytes,2019-02-01T03:45:40Z
         ca_subCA_das_2019013115.nc,31.29 Mbytes,2019-02-01T00:55:34Z
         ca_subCA_das_2019013109.nc,31.29 Mbytes,2019-01-31T21:55:47Z
         ca_subCA_das_2019013103.nc,31.29 Mbytes,2019-01-31T10:46:25Z
         ca_subCA_das_2019013021.nc,31.29 Mbytes,2019-01-31T03:45:31Z
         ca_subCA_das_2019013015.nc,31.29 Mbytes,2019-01-31T00:55:23Z
         ca_subCA_das_2019013009.nc,31.29 Mbytes,2019-01-30T21:55:33Z
         ca_subCA_das_2019013003.nc,31.29 Mbytes,2019-01-30T10:46:15Z
         ca_subCA_das_2019012921.nc,31.29 Mbytes,2019-01-30T03:45:42Z
